abs,brand,compression_ratio,coupe_type,cylinder_bore,doors,fuel_tank_volume,fuel_type,generation,kerb_weight,model,number_of_cylinders,number_of_gears,number_of_valves_per_cylinder,piston_stroke,position_of_cylinders,power,seats,torque,wheelbase,hashtags,sentiment
1,Acura,5,0,4,4,4,0,RLX,5,RLX,6,6,4,4,2,5,5,5,6,#acurarlx|#rlx|#arlx|#rlxrlx|#acurarlxrlx|#arlxrlx,0.303968254
0,Ariel,4,11,4,5,0,0,Atom 4,0,Atom,4,6,4,4,1,6,2,5,0,#arielatom|#atom|#aatom|#atomatom|#arielatomatom|#aatomatom,0
1,AC,0,6,3,2,6,0,Ace,3,ACE,8,4,2,1,2,5,2,6,1,#acace|#ace|#aace|#aceace|#acaceace|#aaceace,0.375
1,Acura,5,0,4,4,4,0,TL (2013),5,TL,6,6,4,4,2,5,5,3,5,#acuratl|#tl|#atl|#tltl|#acuratltl|#atltl,-0.0925
1,BMW,3,0,5,4,6,0,7er (G11),0,7er,8,8,4,5,2,1,5,2,2,#bmw7er|#7er|#b7er|#7er7er|#bmw7er7er|#b7er7er,0.081607744
0,AC,1,6,3,2,5,0,Cobra (Mk IV),0,Cobra,8,6,2,1,2,6,2,2,0,#accobra|#cobra|#acobra|#cobracobra|#accobracobra|#acobracobra,0.166666667
0,Acura,1,0,2,4,1,0,RSX II,2,RSX,4,4,4,5,1,2,5,0,2,#acurarsx|#rsx|#arsx|#rsxrsx|#acurarsxrsx|#arsxrsx,0.202777778
1,Acura,5,0,5,4,4,0,TLX I (facelift 2017),5,TLX,6,9,4,6,2,5,5,5,5,#acuratlx|#tlx|#atlx|#tlxtlx|#acuratlxtlx|#atlxtlx,0.3475
0,Acura,3,0,4,4,4,0,TSX II (Cu2),5,TSX,4,6,4,1,1,4,5,2,4,#acuratsx|#tsx|#atsx|#tsxtsx|#acuratsxtsx|#atsxtsx,0.249404762
1,Acura,6,2,5,5,6,0,SLX,6,SLX,6,5,4,5,2,3,5,3,5,#acuraslx|#slx|#aslx|#slxslx|#acuraslxslx|#aslxslx,0.25
1,BMW,3,5,5,5,6,0,X6 M (E71),0,X6 M,8,6,4,5,2,1,4,2,6,#bmwx6m|#x6m|#bx6m|#x6mx6|#bmwx6mx6|#bx6mx6,0.375
1,BMW,2,5,5,5,6,0,X5 (F15),0,X5,8,8,4,5,2,1,5,2,6,#bmwx5|#x5|#bx5|#x5x5|#bmwx5x5|#bx5x5,0
1,BMW,2,5,5,5,6,0,X6 (F16),0,X6,8,8,4,5,2,1,5,2,6,#bmwx6|#x6|#bx6|#x6x6|#bmwx6x6|#bx6x6,0.5
1,BMW,5,3,4,2,2,0,Z4 M Coupe (2009),3,Z4,6,6,4,6,1,6,2,5,1,#bmwz4|#z4|#bz4|#z4z4|#bmwz4z4|#bz4z4,0.136111111
1,BMW,5,3,4,3,2,0,Z3 M Coupe (E36/7),2,Z3,6,5,4,6,1,6,2,4,1,#bmwz3|#z3|#bz3|#z3z3|#bmwz3z3|#bz3z3,0
1,BMW,4,6,6,2,5,0,Z8 (E52),4,Z8,8,6,4,5,2,6,2,6,1,#bmwz8|#z8|#bz8|#z8z8|#bmwz8z8|#bz8z8,0.155164743
1,BMW,0,0,3,4,3,1,"3er Sedan (F30 LCI, Facelift 2015)",6,3er,4,6,4,5,1,4,5,6,5,#bmw3er|#3er|#b3er|#3er3er|#bmw3er3er|#b3er3er,0.152083333
1,BMW,4,6,2,2,2,0,"2er Convertible (F23 LCI, facelift 2017)",6,2er,4,8,4,1,1,4,4,3,4,#bmw2er|#2er|#b2er|#2er2er|#bmw2er2er|#b2er2er,0
1,BMW,4,3,2,4,3,0,"4er Gran Coupe (F36, facelift 2017)",0,4er,6,8,4,1,1,6,5,6,5,#bmw4er|#4er|#b4er|#4er4er|#bmw4er4er|#b4er4er,0
1,BMW,2,3,4,2,4,0,8er (E31),6,8er,12,6,2,1,2,6,4,6,4,#bmw8er|#8er|#b8er|#8er8er|#bmw8er8er|#b8er8er,0.136363636
1,BMW,2,6,5,2,4,0,"6er Convertible (F12 LCI, facelift 2015)",0,6er,8,8,4,5,2,1,4,2,6,#bmw6er|#6er|#b6er|#6er6er|#bmw6er6er|#b6er6er,0
1,BMW,6,0,5,4,3,0,M3 (E90),4,M3,8,6,4,0,2,6,5,5,5,#bmwm3|#m3|#bm3|#m3m3|#bmwm3m3|#bm3m3,0
1,BMW,3,6,5,2,6,0,M6 Convertible (F12M),6,M6,8,7,4,5,2,1,4,2,6,#bmwm6|#m6|#bm6|#m6m6|#bmwm6m6|#bm6m6,0.114772727
1,BMW,3,2,6,5,4,0,M5 Touring (E34),5,M5,6,5,4,5,1,6,5,5,5,#bmwm5|#m5|#bm5|#m5m5|#bmwm5m5|#bm5m5,0.178099174
1,Alpina,0,10,3,5,4,1,XD3 (F25),6,XD3,6,8,4,5,1,6,5,2,5,#alpinaxd3|#xd3|#axd3|#xd3xd3|#alpinaxd3xd3|#axd3xd3,0
1,Alpina,3,6,4,2,2,0,Roadster S,2,Roadster S,6,5,4,1,1,5,2,5,1,#alpinaroadsters|#roadsters|#aroadsters|#roadstersroadster|#alpinaroadstersroadster|#aroadstersroadster,0.55
1,Apollo,1,3,6,2,4,0,IE,1,IE,12,6,4,5,2,1,2,2,4,#apolloie|#ie|#aie|#ieie|#apolloieie|#aieie,-0.268939394
1,Alpina,0,0,3,4,3,1,D3 (E90),3,D3,4,6,4,5,1,4,5,5,5,#alpinad3|#d3|#ad3|#d3d3|#alpinad3d3|#ad3d3,0.18
1,Alpina,0,0,3,4,4,1,D10 (E39),4,D10,6,5,4,5,1,5,5,6,6,#alpinad10|#d10|#ad10|#d10d10|#alpinad10d10|#ad10d10,0
1,Alpina,0,0,3,4,4,1,D5 I Sedan (F10),5,D5,6,8,4,5,1,6,5,2,2,#alpinad5|#d5|#ad5|#d5d5|#alpinad5d5|#ad5d5,0.3
0,Aro,0,8,3,5,4,0,24,5,24,4,4,4,3,1,1,5,1,0,#aro24|#24|#a24|#2424|#aro2424|#a2424,0.456060606
0,Aro,0,8,1,3,1,0,10,3,10,4,5,2,1,1,0,5,0,0,#aro10|#10|#a10|#1010|#aro1010|#a1010,0
1,BMW,3,1,2,3,2,0,"1er Hatchback (F21 LCI, facelift 2017)",6,1er,4,8,4,1,1,4,5,4,4,#bmw1er|#1er|#b1er|#1er1er|#bmw1er1er|#b1er1er,0
1,Alpina,1,2,5,5,4,0,B5 Touring (F11),6,B5,8,8,4,5,2,1,5,2,2,#alpinab5|#b5|#ab5|#b5b5|#alpinab5b5|#ab5b5,0.5
1,Acura,3,5,4,5,5,2,MDX III (facelift 2017),6,MDX,6,7,4,4,2,6,5,5,5,#acuramdx|#mdx|#amdx|#mdxmdx|#acuramdxmdx|#amdxmdx,0.45
1,Alpina,3,0,3,4,3,0,B3 (F30),4,B3,6,8,4,5,1,6,5,2,5,#alpinab3|#b3|#ab3|#b3b3|#alpinab3b3|#ab3b3,0.125
1,Acura,2,3,5,2,3,2,NSX II,5,NSX,6,9,4,5,2,1,2,2,3,#acuransx|#nsx|#ansx|#nsxnsx|#acuransxnsx|#ansxnsx,0.516666667
1,Alpina,3,2,6,5,4,0,B10 Touring (E39),5,B10,8,5,4,3,2,6,5,6,6,#alpinab10|#b10|#ab10|#b10b10|#alpinab10b10|#ab10b10,0.35
1,Alpina,3,0,4,4,4,0,B12 (E38),6,B12,12,5,2,1,2,6,5,6,6,#alpinab12|#b12|#ab12|#b12b12|#alpinab12b12|#ab12b12,-0.2
1,Alpina,3,0,6,4,4,0,B8 (E36),3,B8,8,6,4,3,2,6,5,6,4,#alpinab8|#b8|#ab8|#b8b8|#alpinab8b8|#ab8b8,0
1,Alpina,2,6,5,2,4,1,B6 Cabrio (F13),6,B6,8,8,4,5,2,1,4,2,6,#alpinab6|#b6|#ab6|#b6b6|#alpinab6b6|#ab6b6,0.333333333
1,Alpina,2,0,5,4,6,0,B7 (F01),6,B7,8,8,4,5,2,1,5,2,2,#alpinab7|#b7|#ab7|#b7b7|#alpinab7b7|#ab7b7,0.188888889
0,Alfa Romeo,2,3,6,2,4,0,SZ,2,SZ,6,5,4,0,2,4,2,3,1,#alfaromeosz|#sz|#asz|#szsz|#alfaromeoszsz|#aszsz,0.159090909
1,Acura,6,0,4,4,1,0,ILX (facelift 2019),3,ILX,4,8,4,1,1,4,5,3,4,#acurailx|#ilx|#ailx|#ilxilx|#acurailxilx|#ailxilx,0.217921094
0,Acura,4,0,2,4,1,0,Integra III Sedan,1,Integra,4,5,4,5,1,4,5,2,3,#acuraintegra|#integra|#aintegra|#integraintegra|#acuraintegraintegra|#aintegraintegra,0.066666667
1,Alfa Romeo,1,3,3,2,0,0,4C  (facelift 2017),1,4C,4,6,4,1,1,4,2,4,0,#alfaromeo4c|#4c|#a4c|#4c4c|#alfaromeo4c4c|#a4c4c,0.174826389
0,Zastava,1,1,1,3,0,0,Yugo Koral,0,Yugo,4,5,2,0,1,0,5,0,0,#zastavayugo|#yugo|#zyugo|#yugoyugo|#zastavayugoyugo|#zyugoyugo,0
0,ZAZ,2,1,0,5,1,0,Sens Hatchback,1,Sens,4,5,2,0,1,0,5,0,2,#zazsens|#sens|#zsens|#senssens|#zazsenssens|#zsenssens,0.317261905
0,ZAZ,0,0,0,2,0,0,966,0,966,4,4,2,0,2,0,5,0,0,#zaz966|#966|#z966|#966966|#zaz966966|#z966966,0.2
1,Zenvo,0,3,4,2,4,0,TS1,4,TS1,8,7,4,4,2,1,2,2,6,#zenvots1|#ts1|#zts1|#ts1ts1|#zenvots1ts1|#zts1ts1,0.223484848
1,Zotye,1,0,0,4,2,0,Z560,3,Z560,4,0,4,3,1,3,5,2,5,#zotyez560|#z560|#zz560|#z560z560|#zotyez560z560|#zz560z560,0
1,Zenvo,0,3,4,2,4,0,ST1,4,ST1,8,7,4,4,2,1,2,2,2,#zenvost1|#st1|#zst1|#st1st1|#zenvost1st1|#zst1st1,0.099785156
1,Alfa Romeo,1,2,3,5,4,0,159 Sportwagon,3,159,4,6,4,1,1,4,5,4,4,#alfaromeo159|#159|#a159|#159159|#alfaromeo159159|#a159159,0.06875
1,Vector,0,3,3,2,4,0,W8 Twin Turbo,4,W8 Twin Turbo,8,3,2,6,2,1,2,2,3,#vectorw8twinturbo|#w8twinturbo|#vw8twinturbo|#w8twinturbow8|#vectorw8twinturbow8|#vw8twinturbow8,0
1,VUHL,2,11,1,5,0,0,5,0,5,4,6,4,2,1,6,2,6,0,#vuhl5|#5|#v5|#55|#vuhl55|#v55,0.2
0,UAZ,0,2,5,5,6,0,469,4,469,4,4,2,6,1,0,7,2,0,#uaz469|#469|#u469|#469469|#uaz469469|#u469469,0.25
